epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
53,6710.18,0.72207,0.38825,0.03324,0.0154,0.96229,0.94637,0.97705,0.84879,0.56376,0.27233,0.03371,0.01008,0.0010355,0.0010355,0.0010355
54,6833.12,0.71378,0.37982,0.03167,0.01439,0.96478,0.94319,0.97807,0.84907,0.55645,0.26302,0.03318,0.00629,0.00103138,0.00103138,0.00103138
55,6957.25,0.69368,0.3596,0.0319,0.01347,0.95061,0.95388,0.97669,0.84584,0.55944,0.26647,0.03296,0.00902,0.00102725,0.00102725,0.00102725
56,7081.18,0.70021,0.38193,0.03186,0.01365,0.9627,0.94593,0.97958,0.8533,0.54655,0.26169,0.0318,0.00631,0.00102312,0.00102312,0.00102312
57,7204.71,0.69714,0.38121,0.0327,0.013,0.96586,0.94741,0.98058,0.85062,0.56528,0.25254,0.03407,0.0066,0.001019,0.001019,0.001019
58,7327.81,0.68513,0.36388,0.03337,0.01373,0.95902,0.95071,0.98013,0.85194,0.54541,0.25497,0.03408,0.00579,0.00101488,0.00101488,0.00101488
59,7451.37,0.7023,0.38678,0.03264,0.01528,0.95899,0.94906,0.97694,0.84764,0.5608,0.26507,0.03367,0.01061,0.00101075,0.00101075,0.00101075
60,7575.33,0.71163,0.37162,0.03178,0.01552,0.95875,0.94766,0.97646,0.84862,0.54908,0.25864,0.0343,0.00699,0.00100663,0.00100663,0.00100663
61,7698.59,0.70079,0.37545,0.03263,0.01418,0.9673,0.94212,0.97867,0.85339,0.54203,0.25837,0.03296,0.00654,0.0010025,0.0010025,0.0010025
62,7821.26,0.70186,0.37124,0.03158,0.01403,0.96547,0.95179,0.98081,0.85394,0.55678,0.25015,0.0334,0.00959,0.000998375,0.000998375,0.000998375
63,7943.8,0.69209,0.35749,0.03197,0.01262,0.96246,0.95543,0.98165,0.85607,0.54034,0.25522,0.03302,0.00536,0.00099425,0.00099425,0.00099425
64,8067.49,0.68621,0.3678,0.03144,0.01288,0.95487,0.95275,0.97799,0.84802,0.55881,0.26485,0.03296,0.00725,0.000990125,0.000990125,0.000990125
65,8190.79,0.6947,0.36834,0.03138,0.01356,0.96828,0.94602,0.98049,0.85485,0.53675,0.25356,0.03335,0.00643,0.000986,0.000986,0.000986
66,8313.73,0.69235,0.37128,0.03316,0.01359,0.96866,0.94668,0.98112,0.85803,0.54093,0.25169,0.0333,0.00729,0.000981875,0.000981875,0.000981875
67,8438.49,0.70005,0.37906,0.03241,0.01251,0.96152,0.95127,0.97961,0.85421,0.54059,0.25818,0.0329,0.00593,0.00097775,0.00097775,0.00097775
